name,category,id,service_id,provider_id,gpu,detailsname,vcpu,memory,clock_speed_ghz,physical_processor_description,cpu_vendor,previous_generation,ebs_base_throughput,ebs_base_iops,ebs_burst_throughput,ebs_burst_iops,network_performance_description,network_upto,network_speed,network_speed_burst,network_devices,storage_ssd,storage_size,storage_devices,storage_readops,storage_writeops,nvme_ssd,trim_support,storage_includes_swap_partition,storage_needs_initialization,consider_instance,comment,price_unit,price_region,price,price_platform,price_lifecycle
cc2.8xlarge,compute,aws-ec2-cc2_8xlarge,aws-ec2,aws,0,Cluster Compute Eight Extra Large,32,60.5,2.6,Intel Xeon E5-2670,intel,FALSE,,,,,10 Gigabit,false,10,10,1,false,840,4,0,0,false,false,false,true,TRUE,,hour,us-east-1,2,linux,on-demand
cr1.8xlarge,compute,aws-ec2-cr1_8xlarge,aws-ec2,aws,0,High Memory Cluster Eight Extra Large,32,244,0,Intel Xeon E5-2670,intel,FALSE,,,,,10 Gigabit,false,10,10,1,true,120,2,0,0,false,false,false,true,FALSE,old instance,hour,us-east-1,3.5,linux,on-demand
d2.xlarge,compute,aws-ec2-d2_xlarge,aws-ec2,aws,0,D2 Extra Large,4,30.5,2.4,Intel Xeon E5-2676 v3 (Haswell),intel,FALSE,93.75,6000,93.75,6000,Moderate,false,0,0,1,false,2000,3,0,0,false,false,false,false,FALSE,,hour,us-east-1,0.69,linux,on-demand
d2.2xlarge,compute,aws-ec2-d2_2xlarge,aws-ec2,aws,0,D2 Double Extra Large,8,61,2.4,Intel Xeon E5-2676 v3 (Haswell),intel,FALSE,125,8000,125,8000,High,false,0,0,1,false,2000,6,0,0,false,false,false,false,FALSE,,hour,us-east-1,1.38,linux,on-demand
d2.4xlarge,compute,aws-ec2-d2_4xlarge,aws-ec2,aws,0,D2 Quadruple Extra Large,16,122,2.4,Intel Xeon E5-2676 v3 (Haswell),intel,FALSE,250,16000,250,16000,High,false,0,0,1,false,2000,12,0,0,false,false,false,false,FALSE,,hour,us-east-1,2.76,linux,on-demand
d2.8xlarge,compute,aws-ec2-d2_8xlarge,aws-ec2,aws,0,D2 Eight Extra Large,36,244,2.4,Intel Xeon E5-2676 v3 (Haswell),intel,FALSE,500,32000,500,32000,10 Gigabit,false,10,10,1,false,2000,24,0,0,false,false,false,false,TRUE,,hour,us-east-1,5.52,linux,on-demand
d3.xlarge,compute,aws-ec2-d3_xlarge,aws-ec2,aws,0,D3 Extra Large,4,32,3.1,Intel Xeon Platinum 8259 (Cascade Lake),intel,FALSE,106.25,5000,350,15000,Up to 15 Gigabit,true,3,15,1,false,1980,3,0,0,false,false,false,false,TRUE,,hour,us-east-1,0.499,linux,on-demand
d3.2xlarge,compute,aws-ec2-d3_2xlarge,aws-ec2,aws,0,D3 Double Extra Large,8,64,3.1,Intel Xeon Platinum 8259 (Cascade Lake),intel,FALSE,212.5,10000,350,15000,Up to 15 Gigabit,true,6,15,1,false,1980,6,0,0,false,false,false,false,TRUE,,hour,us-east-1,0.999,linux,on-demand
d3.4xlarge,compute,aws-ec2-d3_4xlarge,aws-ec2,aws,0,D3 Quadruple Extra Large,16,128,3.1,Intel Xeon Platinum 8259 (Cascade Lake),intel,FALSE,350,15000,350,15000,Up to 15 Gigabit,true,12.5,15,1,false,1980,12,0,0,false,false,false,false,TRUE,,hour,us-east-1,1.998,linux,on-demand
d3.8xlarge,compute,aws-ec2-d3_8xlarge,aws-ec2,aws,0,D3 Eight Extra Large,32,256,3.1,Intel Xeon Platinum 8259 (Cascade Lake),intel,FALSE,625,30000,625,30000,25 Gigabit,false,25,25,1,false,1980,24,0,0,false,false,false,false,TRUE,,hour,us-east-1,3.99552,linux,on-demand
d3en.xlarge,compute,aws-ec2-d3en_xlarge,aws-ec2,aws,0,D3EN Extra Large,4,16,3.1,Intel Xeon Platinum 8259 (Cascade Lake),intel,FALSE,106.25,5000,350,15000,Up to 25 Gigabit,true,6,25,1,false,13980,2,0,0,false,false,false,false,TRUE,,hour,us-east-1,0.526,linux,on-demand
d3en.2xlarge,compute,aws-ec2-d3en_2xlarge,aws-ec2,aws,0,D3EN Double Extra Large,8,32,3.1,Intel Xeon Platinum 8259 (Cascade Lake),intel,FALSE,212.5,10000,350,15000,Up to 25 Gigabit,true,12.5,25,1,false,13980,4,0,0,false,false,false,false,TRUE,,hour,us-east-1,1.051,linux,on-demand
d3en.4xlarge,compute,aws-ec2-d3en_4xlarge,aws-ec2,aws,0,D3EN Quadruple Extra Large,16,64,3.1,Intel Xeon Platinum 8259 (Cascade Lake),intel,FALSE,350,15000,350,15000,25 Gigabit,false,25,25,1,false,13980,8,0,0,false,false,false,false,TRUE,,hour,us-east-1,2.103,linux,on-demand
d3en.6xlarge,compute,aws-ec2-d3en_6xlarge,aws-ec2,aws,0,D3EN 6xlarge,24,96,3.1,Intel Xeon Platinum 8259 (Cascade Lake),intel,FALSE,,,,,40 Gigabit,false,40,40,1,false,13980,12,0,0,false,false,false,false,TRUE,,hour,us-east-1,3.154,linux,on-demand
d3en.8xlarge,compute,aws-ec2-d3en_8xlarge,aws-ec2,aws,0,D3EN Eight Extra Large,32,128,3.1,Intel Xeon Platinum 8259 (Cascade Lake),intel,FALSE,625,30000,625,30000,50 Gigabit,false,50,50,1,false,13980,16,0,0,false,false,false,false,TRUE,,hour,us-east-1,4.20576,linux,on-demand
d3en.12xlarge,compute,aws-ec2-d3en_12xlarge,aws-ec2,aws,0,D3EN 12xlarge,48,192,3.1,Intel Xeon Platinum 8259 (Cascade Lake),intel,FALSE,875,40000,875,40000,75 Gigabit,false,75,75,1,false,13980,24,0,0,false,false,false,false,TRUE,,hour,us-east-1,6.30864,linux,on-demand
f1.2xlarge,compute,aws-ec2-f1_2xlarge,aws-ec2,aws,0,F1 Double Extra Large,8,122,2.3,Intel Xeon E5-2686 v4 (Broadwell),intel,FALSE,212.5,12000,212.5,12000,Up to 10 Gigabit,true,10,10,1,true,470,1,0,0,true,true,false,false,FALSE,special purpose fpga instance,hour,us-east-1,1.65,linux,on-demand
f1.4xlarge,compute,aws-ec2-f1_4xlarge,aws-ec2,aws,0,F1 Quadruple Extra Large,16,244,2.3,Intel Xeon E5-2686 v4 (Broadwell),intel,FALSE,437.5,44000,437.5,44000,Up to 10 Gigabit,true,10,10,1,true,940,1,0,0,true,true,false,false,FALSE,special purpose fpga instance,hour,us-east-1,3.3,linux,on-demand
f1.16xlarge,compute,aws-ec2-f1_16xlarge,aws-ec2,aws,0,F1 16xlarge,64,976,2.3,Intel Xeon E5-2686 v4 (Broadwell),intel,FALSE,1750,75000,1750,75000,25 Gigabit,false,25,25,1,true,940,4,0,0,true,true,false,false,FALSE,special purpose fpga instance,hour,us-east-1,13.2,linux,on-demand
g2.2xlarge,compute,aws-ec2-g2_2xlarge,aws-ec2,aws,1,G2 Double Extra Large,8,15,2.6,Intel Xeon E5-2670 (Sandy Bridge),intel,TRUE,,,,,Moderate,false,0,0,1,true,60,1,0,0,false,false,false,true,FALSE,,hour,us-east-1,0.65,linux,on-demand
g2.8xlarge,compute,aws-ec2-g2_8xlarge,aws-ec2,aws,4,G2 Eight Extra Large,32,60,2.6,Intel Xeon E5-2670 (Sandy Bridge),intel,TRUE,,,,,High,false,0,0,1,true,120,2,0,0,false,false,false,true,FALSE,,hour,us-east-1,2.6,linux,on-demand
g3.4xlarge,compute,aws-ec2-g3_4xlarge,aws-ec2,aws,1,G3 Quadruple Extra Large,16,122,2.3,Intel Xeon E5-2686 v4 (Broadwell),intel,FALSE,437.5,20000,437.5,20000,Up to 10 Gigabit,true,5,10,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,1.14,linux,on-demand
g3.8xlarge,compute,aws-ec2-g3_8xlarge,aws-ec2,aws,2,G3 Eight Extra Large,32,244,2.3,Intel Xeon E5-2686 v4 (Broadwell),intel,FALSE,875,40000,875,40000,10 Gigabit,false,10,10,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,2.28,linux,on-demand
g3.16xlarge,compute,aws-ec2-g3_16xlarge,aws-ec2,aws,4,G3 16xlarge,64,488,2.3,Intel Xeon E5-2686 v4 (Broadwell),intel,FALSE,1750,80000,1750,80000,25 Gigabit,false,25,25,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,4.56,linux,on-demand
g3s.xlarge,compute,aws-ec2-g3s_xlarge,aws-ec2,aws,1,G3S Extra Large,4,30.5,2.3,Intel Xeon E5-2686 v4 (Broadwell),intel,FALSE,106.25,5000,106.25,5000,Up to 10 Gigabit,true,10,10,1,false,0,0,0,0,false,false,false,false,FALSE,,hour,us-east-1,0.75,linux,on-demand
g4ad.4xlarge,compute,aws-ec2-g4ad_4xlarge,aws-ec2,aws,1,G4AD Quadruple Extra Large,16,64,2.8,AMD EPYC 7R32,amd,FALSE,197.5,6700,396.25,13333,Up to 10 Gigabit,true,8.333,10,1,true,600,1,0,0,true,true,false,false,FALSE,,hour,us-east-1,0.867,linux,on-demand
g4ad.8xlarge,compute,aws-ec2-g4ad_8xlarge,aws-ec2,aws,2,G4AD Eight Extra Large,32,128,2.8,AMD EPYC 7R32,amd,FALSE,396.25,13333,396.25,13333,15 Gigabit,false,15,15,1,true,1200,1,0,0,true,true,false,false,FALSE,,hour,us-east-1,1.734,linux,on-demand
g4ad.16xlarge,compute,aws-ec2-g4ad_16xlarge,aws-ec2,aws,4,G4AD 16xlarge,64,256,2.8,AMD EPYC 7R32,amd,FALSE,787.5,26667,787.5,26667,25 Gigabit,false,25,25,1,true,1200,2,0,0,true,true,false,false,FALSE,,hour,us-east-1,3.468,linux,on-demand
g4dn.xlarge,compute,aws-ec2-g4dn_xlarge,aws-ec2,aws,1,G4DN Extra Large,4,16,2.5,Intel Xeon Family,intel,FALSE,118.75,3000,437.5,20000,Up to 25 Gigabit,true,5,25,1,true,125,1,0,0,true,true,false,false,FALSE,,hour,us-east-1,0.526,linux,on-demand
g4dn.2xlarge,compute,aws-ec2-g4dn_2xlarge,aws-ec2,aws,1,G4DN Double Extra Large,8,32,2.5,Intel Xeon Family,intel,FALSE,143.75,6000,437.5,20000,Up to 25 Gigabit,true,10,25,1,true,225,1,0,0,true,true,false,false,FALSE,,hour,us-east-1,0.752,linux,on-demand
g4dn.4xlarge,compute,aws-ec2-g4dn_4xlarge,aws-ec2,aws,1,G4DN Quadruple Extra Large,16,64,2.5,Intel Xeon Family,intel,FALSE,593.75,20000,593.75,20000,Up to 25 Gigabit,true,20,25,1,true,225,1,0,0,true,true,false,false,FALSE,,hour,us-east-1,1.204,linux,on-demand
g4dn.8xlarge,compute,aws-ec2-g4dn_8xlarge,aws-ec2,aws,1,G4DN Eight Extra Large,32,128,2.5,Intel Xeon Family,intel,FALSE,1187.5,40000,1187.5,40000,50 Gigabit,false,50,50,1,true,900,1,0,0,true,true,false,false,FALSE,,hour,us-east-1,2.176,linux,on-demand
g4dn.12xlarge,compute,aws-ec2-g4dn_12xlarge,aws-ec2,aws,4,G4DN 12xlarge,48,192,2.5,Intel Xeon Family,intel,FALSE,1187.5,40000,1187.5,40000,50 Gigabit,false,50,50,1,true,900,1,0,0,true,true,false,false,FALSE,,hour,us-east-1,3.912,linux,on-demand
g4dn.16xlarge,compute,aws-ec2-g4dn_16xlarge,aws-ec2,aws,1,G4DN 16xlarge,64,256,2.5,Intel Xeon Family,intel,FALSE,1187.5,40000,1187.5,40000,50 Gigabit,false,50,50,1,true,900,1,0,0,true,true,false,false,FALSE,,hour,us-east-1,4.352,linux,on-demand
g4dn.metal,compute,aws-ec2-g4dn_metal,aws-ec2,aws,8,G4DN Metal,96,384,2.5,Intel Xeon Family,intel,FALSE,2375,80000,2375,80000,100 Gigabit,false,100,100,1,true,900,2,0,0,true,true,false,false,FALSE,,hour,us-east-1,7.824,linux,on-demand
h1.2xlarge,compute,aws-ec2-h1_2xlarge,aws-ec2,aws,0,H1 Double Extra Large,8,32,2.3,Intel Xeon E5-2686 v4 (Broadwell),intel,FALSE,218.75,12000,218.75,12000,Up to 10 Gigabit,true,2.5,10,1,false,2000,1,0,0,false,false,false,false,TRUE,,hour,us-east-1,0.468,linux,on-demand
h1.4xlarge,compute,aws-ec2-h1_4xlarge,aws-ec2,aws,0,H1 Quadruple Extra Large,16,64,2.3,Intel Xeon E5-2686 v4 (Broadwell),intel,FALSE,437.5,20000,437.5,20000,Up to 10 Gigabit,true,5,10,1,false,2000,2,0,0,false,false,false,false,TRUE,,hour,us-east-1,0.936,linux,on-demand
h1.8xlarge,compute,aws-ec2-h1_8xlarge,aws-ec2,aws,0,H1 Eight Extra Large,32,128,2.3,Intel Xeon E5-2686 v4 (Broadwell),intel,FALSE,875,40000,875,40000,10 Gigabit,false,10,10,1,false,2000,4,0,0,false,false,false,false,TRUE,,hour,us-east-1,1.872,linux,on-demand
h1.16xlarge,compute,aws-ec2-h1_16xlarge,aws-ec2,aws,0,H1 16xlarge,64,256,2.3,Intel Xeon E5-2686 v4 (Broadwell),intel,FALSE,1750,80000,1750,80000,25 Gigabit,false,25,25,1,false,2000,8,0,0,false,false,false,false,TRUE,,hour,us-east-1,3.744,linux,on-demand
hs1.8xlarge,compute,aws-ec2-hs1_8xlarge,aws-ec2,aws,0,High Storage Eight Extra Large,16,117,2,Intel Xeon E5-2650,intel,FALSE,,,,,10 Gigabit,false,10,10,1,false,2000,24,0,0,false,false,false,true,TRUE,,hour,us-east-1,4.6,linux,on-demand
i2.2xlarge,compute,aws-ec2-i2_2xlarge,aws-ec2,aws,0,I2 Double Extra Large,8,61,2.5,Intel Xeon E5-2670 v2 (Ivy Bridge),intel,TRUE,,,,,High,false,0,0,1,true,800,2,0,0,false,true,false,false,FALSE,,hour,us-east-1,1.705,linux,on-demand
i2.4xlarge,compute,aws-ec2-i2_4xlarge,aws-ec2,aws,0,I2 Quadruple Extra Large,16,122,2.5,Intel Xeon E5-2670 v2 (Ivy Bridge),intel,TRUE,,,,,High,false,0,0,1,true,800,4,0,0,false,true,false,false,FALSE,,hour,us-east-1,3.41,linux,on-demand
i2.8xlarge,compute,aws-ec2-i2_8xlarge,aws-ec2,aws,0,I2 Eight Extra Large,32,244,2.5,Intel Xeon E5-2670 v2 (Ivy Bridge),intel,TRUE,,,,,10 Gigabit,false,10,10,1,true,800,8,0,0,false,true,false,false,FALSE,,hour,us-east-1,6.82,linux,on-demand
i2.xlarge,compute,aws-ec2-i2_xlarge,aws-ec2,aws,0,I2 Extra Large,4,30.5,2.5,Intel Xeon E5-2670 v2 (Ivy Bridge),intel,TRUE,,,,,Moderate,false,0,0,1,true,800,1,0,0,false,true,false,false,FALSE,,hour,us-east-1,0.853,linux,on-demand
i3.large,compute,aws-ec2-i3_large,aws-ec2,aws,0,I3 High I/O Large,2,15.25,2.3,Intel Xeon E5-2686 v4 (Broadwell),intel,FALSE,53.13,3000,53.13,3000,Up to 10 Gigabit,true,0.625,10,1,true,475,1,100125,35000,true,true,false,false,TRUE,,hour,us-east-1,0.156,linux,on-demand
i3.xlarge,compute,aws-ec2-i3_xlarge,aws-ec2,aws,0,I3 High I/O Extra Large,4,30.5,2.3,Intel Xeon E5-2686 v4 (Broadwell),intel,FALSE,106.25,6000,106.25,6000,Up to 10 Gigabit,true,1.25,10,1,true,950,1,206250,70000,true,true,false,false,TRUE,,hour,us-east-1,0.312,linux,on-demand
i3.2xlarge,compute,aws-ec2-i3_2xlarge,aws-ec2,aws,0,I3 High I/O Double Extra Large,8,61,2.3,Intel Xeon E5-2686 v4 (Broadwell),intel,FALSE,212.5,12000,212.5,12000,Up to 10 Gigabit,true,2.5,10,1,true,1900,1,412500,180000,true,true,false,false,TRUE,,hour,us-east-1,0.624,linux,on-demand
i3.4xlarge,compute,aws-ec2-i3_4xlarge,aws-ec2,aws,0,I3 High I/O Quadruple Extra Large,16,122,2.3,Intel Xeon E5-2686 v4 (Broadwell),intel,FALSE,437.5,16000,437.5,16000,Up to 10 Gigabit,true,5,10,1,true,1900,2,825000,360000,true,true,false,false,TRUE,,hour,us-east-1,1.248,linux,on-demand
i3.8xlarge,compute,aws-ec2-i3_8xlarge,aws-ec2,aws,0,I3 High I/O Eight Extra Large,32,244,2.3,Intel Xeon E5-2686 v4 (Broadwell),intel,FALSE,875,32500,875,32500,10 Gigabit,false,10,10,1,true,1900,4,1650000,720000,true,true,false,false,TRUE,,hour,us-east-1,2.496,linux,on-demand
i3.16xlarge,compute,aws-ec2-i3_16xlarge,aws-ec2,aws,0,I3 High I/O 16xlarge,64,488,2.3,Intel Xeon E5-2686 v4 (Broadwell),intel,FALSE,1750,65000,1750,65000,25 Gigabit,false,25,25,1,true,1900,8,3300000,1400000,true,true,false,false,TRUE,,hour,us-east-1,4.992,linux,on-demand
i3.metal,compute,aws-ec2-i3_metal,aws-ec2,aws,0,I3 High I/O Metal,64,512,2.3,Intel Xeon E5-2686 v4 (Broadwell),intel,FALSE,2375,80000,2375,80000,25 Gigabit,false,25,25,1,true,1900,8,3300000,1400000,true,true,false,false,TRUE,,hour,us-east-1,4.992,linux,on-demand
i3en.large,compute,aws-ec2-i3en_large,aws-ec2,aws,0,I3EN Large,2,16,3.1,Intel Xeon Platinum 8175 (Skylake),intel,FALSE,72.1,3000,593.75,20000,Up to 25 Gigabit,true,2.1,25,1,true,1250,1,42500,32500,true,true,false,false,TRUE,,hour,us-east-1,0.226,linux,on-demand
i3en.xlarge,compute,aws-ec2-i3en_xlarge,aws-ec2,aws,0,I3EN Extra Large,4,32,3.1,Intel Xeon Platinum 8175 (Skylake),intel,FALSE,144.2,6000,593.75,20000,Up to 25 Gigabit,true,4.2,25,1,true,2500,1,85000,65000,true,true,false,false,TRUE,,hour,us-east-1,0.452,linux,on-demand
i3en.2xlarge,compute,aws-ec2-i3en_2xlarge,aws-ec2,aws,0,I3EN Double Extra Large,8,64,3.1,Intel Xeon Platinum 8175 (Skylake),intel,FALSE,288.39,12000,593.75,20000,Up to 25 Gigabit,true,8.4,25,1,true,2500,2,170000,130000,true,true,false,false,TRUE,,hour,us-east-1,0.904,linux,on-demand
i3en.3xlarge,compute,aws-ec2-i3en_3xlarge,aws-ec2,aws,0,I3EN 3xlarge,12,96,3.1,Intel Xeon Platinum 8175 (Skylake),intel,FALSE,475,15000,593.75,20000,Up to 25 Gigabit,true,12.5,25,1,true,7500,1,250000,200000,true,true,false,false,TRUE,,hour,us-east-1,1.356,linux,on-demand
i3en.6xlarge,compute,aws-ec2-i3en_6xlarge,aws-ec2,aws,0,I3EN 6xlarge,24,192,3.1,Intel Xeon Platinum 8175 (Skylake),intel,FALSE,593.75,20000,593.75,20000,25 Gigabit,false,25,25,1,true,7500,2,500000,400000,true,true,false,false,TRUE,,hour,us-east-1,2.712,linux,on-demand
i3en.12xlarge,compute,aws-ec2-i3en_12xlarge,aws-ec2,aws,0,I3EN 12xlarge,48,384,3.1,Intel Xeon Platinum 8175 (Skylake),intel,FALSE,1187.5,40000,1187.5,40000,50 Gigabit,false,50,50,1,true,7500,4,1000000,800000,true,true,false,false,TRUE,,hour,us-east-1,5.424,linux,on-demand
i3en.24xlarge,compute,aws-ec2-i3en_24xlarge,aws-ec2,aws,0,I3EN 24xlarge,96,768,3.1,Intel Xeon Platinum 8175 (Skylake),intel,FALSE,2375,80000,2375,80000,100 Gigabit,false,100,100,1,true,7500,8,2000000,1600000,true,true,false,false,TRUE,,hour,us-east-1,10.848,linux,on-demand
i3en.metal,compute,aws-ec2-i3en_metal,aws-ec2,aws,0,I3EN Metal,96,768,3.1,Intel Xeon Platinum 8175 (Skylake),intel,FALSE,2375,80000,2375,80000,100 Gigabit,false,100,100,1,true,7500,8,2000000,1600000,true,true,false,false,TRUE,,hour,us-east-1,10.848,linux,on-demand
i4i.large,compute,aws-ec2-i4i_large,aws-ec2,aws,0,,2,16,3.5,Intel Xeon Platinum 8375C (Ice Lake),intel,FALSE,78.125,2500,1250,40000,,true,0.78125,10,1,true,468,1,50000,27500,true,true,false,false,TRUE,,hour,us-east-1,0.172,linux,on-demand
i4i.xlarge,compute,aws-ec2-i4i_xlarge,aws-ec2,aws,0,,4,32,3.5,Intel Xeon Platinum 8375C (Ice Lake),intel,FALSE,156.25,5000,1250,40000,,true,1.875,10,1,true,937,1,100000,55000,true,true,false,false,TRUE,,hour,us-east-1,0.343,linux,on-demand
i4i.2xlarge,compute,aws-ec2-i4i_2xlarge,aws-ec2,aws,0,,8,64,3.5,Intel Xeon Platinum 8375C (Ice Lake),intel,FALSE,312.5,10000,1250,40000,,true,4.687,12,1,true,1875,1,200000,110000,true,true,false,false,TRUE,,hour,us-east-1,0.686,linux,on-demand
i4i.4xlarge,compute,aws-ec2-i4i_4xlarge,aws-ec2,aws,0,,16,128,3.5,Intel Xeon Platinum 8375C (Ice Lake),intel,FALSE,625,20000,1250,40000,,true,9.375,25,1,true,3750,1,400000,220000,true,true,false,false,TRUE,,hour,us-east-1,1.373,linux,on-demand
i4i.8xlarge,compute,aws-ec2-i4i_8xlarge,aws-ec2,aws,0,,32,256,3.5,Intel Xeon Platinum 8375C (Ice Lake),intel,FALSE,1250,40000,1250,40000,,false,18.75,18.75,1,true,3750,2,800000,440000,true,true,false,false,TRUE,,hour,us-east-1,2.746,linux,on-demand
i4i.16xlarge,compute,aws-ec2-i4i_16xlarge,aws-ec2,aws,0,,64,512,3.5,Intel Xeon Platinum 8375C (Ice Lake),intel,FALSE,2500,80000,2500,80000,,false,37.5,37.5,1,true,3750,4,1600000,880000,true,true,false,false,TRUE,,hour,us-east-1,5.491,linux,on-demand
i4i.32xlarge,compute,aws-ec2-i4i_32xlarge,aws-ec2,aws,0,,128,1024,3.5,Intel Xeon Platinum 8375C (Ice Lake),intel,FALSE,5000,160000,5000,160000,,false,75,75,1,true,3750,8,3200000,1760000,true,true,false,false,TRUE,,hour,us-east-1,10.9824,linux,on-demand
i4i.metal,compute,aws-ec2-i4i_metal,aws-ec2,aws,0,,128,1024,3.5,Intel Xeon Platinum 8375C (Ice Lake),intel,FALSE,5000,160000,5000,160000,,false,75,75,1,true,3750,8,3200000,1760000,true,true,false,false,TRUE,,hour,us-east-1,10.982,linux,on-demand
inf1.xlarge,compute,aws-ec2-inf1_xlarge,aws-ec2,aws,0,INF1 Extra Large,4,8,0,Intel Xeon Platinum 8275CL (Cascade Lake),intel,FALSE,148.75,4000,593.75,20000,Up to 25 Gigabit,true,4.18,25,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,0.368,linux,on-demand
inf1.2xlarge,compute,aws-ec2-inf1_2xlarge,aws-ec2,aws,0,INF1 Double Extra Large,8,16,0,Intel Xeon Platinum 8275CL (Cascade Lake),intel,FALSE,148.75,6000,593.75,20000,Up to 25 Gigabit,true,8.333,25,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,0.584,linux,on-demand
inf1.6xlarge,compute,aws-ec2-inf1_6xlarge,aws-ec2,aws,0,INF1 6xlarge,24,48,0,Intel Xeon Platinum 8275CL (Cascade Lake),intel,FALSE,593.75,20000,593.75,20000,25 Gigabit,false,25,25,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,1.904,linux,on-demand
inf1.24xlarge,compute,aws-ec2-inf1_24xlarge,aws-ec2,aws,0,INF1 24xlarge,96,192,0,Intel Xeon Platinum 8275CL (Cascade Lake),intel,FALSE,2375,80000,2375,80000,100 Gigabit,false,100,100,1,false,0,0,0,0,false,false,false,false,TRUE,,hour,us-east-1,7.615,linux,on-demand
m1.small,compute,aws-ec2-m1_small,aws-ec2,aws,0,M1 General Purpose Small,1,1.7,0,Intel Xeon Family,intel,TRUE,,,,,Low,false,0,0,1,false,160,1,0,0,false,false,true,true,FALSE,,hour,us-east-1,0.044,linux,on-demand
m1.medium,compute,aws-ec2-m1_medium,aws-ec2,aws,0,M1 General Purpose Medium,1,3.75,0,Intel Xeon Family,intel,TRUE,,,,,Moderate,false,0,0,1,false,410,1,0,0,false,false,false,true,FALSE,,hour,us-east-1,0.087,linux,on-demand
m1.large,compute,aws-ec2-m1_large,aws-ec2,aws,0,M1 General Purpose Large,2,7.5,0,Intel Xeon Family,intel,TRUE,,,,,Moderate,false,0,0,1,false,420,2,0,0,false,false,false,true,FALSE,,hour,us-east-1,0.175,linux,on-demand
m1.xlarge,compute,aws-ec2-m1_xlarge,aws-ec2,aws,0,M1 General Purpose Extra Large,4,15,0,Intel Xeon Family,intel,TRUE,,,,,High,false,0,0,1,false,420,4,0,0,false,false,false,true,FALSE,,hour,us-east-1,0.35,linux,on-demand
m2.xlarge,compute,aws-ec2-m2_xlarge,aws-ec2,aws,0,M2 High Memory Extra Large,2,17.1,0,Intel Xeon Family,intel,TRUE,,,,,Moderate,false,0,0,1,false,420,1,0,0,false,false,false,true,FALSE,,hour,us-east-1,0.245,linux,on-demand
m2.2xlarge,compute,aws-ec2-m2_2xlarge,aws-ec2,aws,0,M2 High Memory Double Extra Large,4,34.2,0,Intel Xeon Family,intel,TRUE,,,,,Moderate,false,0,0,1,false,850,1,0,0,false,false,false,true,FALSE,,hour,us-east-1,0.49,linux,on-demand
m2.4xlarge,compute,aws-ec2-m2_4xlarge,aws-ec2,aws,0,M2 High Memory Quadruple Extra Large,8,68.4,0,Intel Xeon Family,intel,TRUE,,,,,High,false,0,0,1,false,840,2,0,0,false,false,false,true,FALSE,,hour,us-east-1,0.98,linux,on-demand
m3.2xlarge,compute,aws-ec2-m3_2xlarge,aws-ec2,aws,0,M3 General Purpose Double Extra Large,8,30,2.5,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),intel,TRUE,,,,,High,false,0,0,1,true,80,2,0,0,false,false,false,true,FALSE,,hour,us-east-1,0.532,linux,on-demand
m3.medium,compute,aws-ec2-m3_medium,aws-ec2,aws,0,M3 General Purpose Medium,1,3.75,2.5,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),intel,TRUE,,,,,Moderate,false,0,0,1,true,4,1,0,0,false,false,false,true,FALSE,,hour,us-east-1,0.067,linux,on-demand
m3.large,compute,aws-ec2-m3_large,aws-ec2,aws,0,M3 General Purpose Large,2,7.5,2.5,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),intel,TRUE,,,,,Moderate,false,0,0,1,true,32,1,0,0,false,false,false,true,FALSE,,hour,us-east-1,0.133,linux,on-demand
m3.xlarge,compute,aws-ec2-m3_xlarge,aws-ec2,aws,0,M3 General Purpose Extra Large,4,15,2.5,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),intel,TRUE,,,,,High,false,0,0,1,true,40,2,0,0,false,false,false,true,FALSE,,hour,us-east-1,0.266,linux,on-demand
m4.large,compute,aws-ec2-m4_large,aws-ec2,aws,0,M4 General Purpose Large,2,8,2.4,Intel Xeon E5-2676 v3 (Haswell),intel,FALSE,56.25,3600,56.25,3600,Moderate,false,0,0,1,false,0,0,0,0,false,false,false,false,FALSE,,hour,us-east-1,0.1,linux,on-demand
m4.xlarge,compute,aws-ec2-m4_xlarge,aws-ec2,aws,0,M4 General Purpose Extra Large,4,16,2.4,Intel Xeon E5-2676 v3 (Haswell),intel,FALSE,93.75,6000,93.75,6000,High,false,0,0,1,false,0,0,0,0,false,false,false,false,FALSE,,hour,us-east-1,0.2,linux,on-demand
m4.2xlarge,compute,aws-ec2-m4_2xlarge,aws-ec2,aws,0,M4 General Purpose Double Extra Large,8,32,2.4,Intel Xeon E5-2676 v3 (Haswell),intel,FALSE,125,8000,125,8000,High,false,0,0,1,false,0,0,0,0,false,false,false,false,FALSE,,hour,us-east-1,0.4,linux,on-demand
